%wavelength	Mua Oil	Mua water	cpta (mm-1)/(mg/L)	Mua Triton
1060	-0.003906719	0.008911004	0	-0.001312474
1062	-0.003945096	0.008826576	0	-0.001412252
1064	-0.004152328	0.008696096	0	-0.001489005
1066	-0.004282808	0.008627019	0	-0.001442953
1068	-0.004420963	0.008719122	0	-0.001665537
1070	-0.00460517	0.008565617	0	-0.001964873
1072	-0.00458982	0.0087882	0	-0.002072327
1074	-0.004812403	0.008634694	0	-0.002448415
1076	-0.004896831	0.008911004	0	-0.002578895
1078	-0.005119414	0.008980082	0	-0.003039412
1080	-0.005065687	0.00932547	0	-0.003093139
1082	-0.005334322	0.009448274	0	-0.003476903
1084	-0.005180816	0.009916466	0	-0.003430852
1086	-0.005249894	0.010277205	0	-0.003753214
1088	-0.005318972	0.010783774	0	-0.003753214
1090	-0.005526204	0.011182888	0	-0.004090926
1092	-0.005587606	0.011566652	0	-0.004206055
1094	-0.005441776	0.012364882	0	-0.004098601
1096	-0.005856241	0.012503037	0	-0.004405613
1098	-0.005318972	0.013470123	0	-0.004037199
1100	-0.005495503	0.0135392	0	-0.004129303
